codigo_unidade_gestora;codigo_unidade_orcamentaria;numero_empenho;classificacao;data_empenho;codigo_credor;nome_credor;valor_contratado;valor_pago
201157;02110;'0003573;339030;12/06/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;33087.3;33087.3
201157;02110;'0004537;339030;23/07/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;1500.0;1500.0
201157;02110;'0004538;339030;23/07/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;200.0;200.0
201157;02110;'0004605;339030;24/07/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;600.0;0.0
201157;02110;'0004027;339030;01/07/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;14093.29;14093.29
201157;02110;'0004050;339030;02/07/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;44468.85;44468.85
201157;02110;'0004051;339030;02/07/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;1748.35;1748.35
201157;02110;'0004052;339030;02/07/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;42457.7;42457.7
201157;02110;'0004053;339030;02/07/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;47066.7;47066.7
201157;02110;'0004054;339030;02/07/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;14093.36;14093.36
201157;02120;'0000677;339039;26/02/2025;'41162042000106;A P A PROMOCOES E EVENTOS LTDA;22000.0;22000.0
201157;02080;'0001066;339039;19/03/2025;'17811772000106;A.S. TRANSPORTES E LOCACOES LTDA;3500.0;3500.0
201157;02090;'0000299;335041;05/02/2025;'43858387000124;ABRIGO TOCA DOS BICHOS;1518.0;1518.0
201157;02090;'0001331;335041;27/03/2025;'43858387000124;ABRIGO TOCA DOS BICHOS;1518.0;1518.0
